Year,borough_code,borough_name,tax_code,tax_class,tax_wealth_p50,tax_wealth_p25,tax_wealth_p75
1999,11,Rathaus,0,base rate,19.0,0.0,149.0
1999,11,Rathaus,1,couple rate,191.0,30.0,792.0
1999,11,Rathaus,2,single parent family rate,22.5,0.0,395.0
1999,12,Hochschulen,0,base rate,28.0,0.0,186.0
1999,12,Hochschulen,1,couple rate,249.0,37.0,724.5
1999,12,Hochschulen,2,single parent family rate,82.0,0.0,210.0
1999,13,Lindenhof,0,base rate,57.0,2.0,327.5
1999,13,Lindenhof,1,couple rate,307.0,32.0,1480.0
1999,13,Lindenhof,2,single parent family rate,165.0,30.0,1021.0
1999,14,City,0,base rate,12.0,0.0,95.5
1999,14,City,1,couple rate,45.0,1.0,268.0
1999,14,City,2,single parent family rate,3.0,0.0,50.0
1999,21,Wollishofen,0,base rate,39.0,4.0,184.0
1999,21,Wollishofen,1,couple rate,138.5,35.0,427.5
1999,21,Wollishofen,2,single parent family rate,6.0,0.0,53.0
1999,23,Leimbach,0,base rate,31.0,2.0,138.0
1999,23,Leimbach,1,couple rate,120.0,25.0,370.0
1999,23,Leimbach,2,single parent family rate,10.0,0.0,55.0
1999,24,Enge,0,base rate,37.0,1.0,213.0
1999,24,Enge,1,couple rate,200.5,33.5,731.0
1999,24,Enge,2,single parent family rate,9.0,0.0,99.0
1999,31,Alt-Wiedikon,0,base rate,22.0,0.0,113.0
1999,31,Alt-Wiedikon,1,couple rate,63.0,0.0,266.0
1999,31,Alt-Wiedikon,2,single parent family rate,0.5,0.0,38.0
1999,33,Friesenberg,0,base rate,20.0,0.0,96.0
1999,33,Friesenberg,1,couple rate,77.0,12.0,207.0
1999,33,Friesenberg,2,single parent family rate,2.0,0.0,39.0
1999,34,Sihlfeld,0,base rate,14.0,0.0,85.0
1999,34,Sihlfeld,1,couple rate,39.0,0.0,186.0
1999,34,Sihlfeld,2,single parent family rate,0.0,0.0,22.0
1999,41,Werd,0,base rate,10.0,0.0,67.0
1999,41,Werd,1,couple rate,15.0,0.0,149.0
1999,41,Werd,2,single parent family rate,0.0,0.0,30.0
1999,42,Langstrasse,0,base rate,2.0,0.0,39.0
1999,42,Langstrasse,1,couple rate,5.0,0.0,95.0
1999,42,Langstrasse,2,single parent family rate,0.0,0.0,9.0
1999,44,Hard,0,base rate,8.0,0.0,59.0
1999,44,Hard,1,couple rate,9.0,0.0,94.0
1999,44,Hard,2,single parent family rate,0.0,0.0,12.0
1999,51,Gewerbeschule,0,base rate,6.0,0.0,50.0
1999,51,Gewerbeschule,1,couple rate,13.0,0.0,103.0
1999,51,Gewerbeschule,2,single parent family rate,0.0,0.0,24.0
1999,52,Escher Wyss,0,base rate,9.0,0.0,67.0
1999,52,Escher Wyss,1,couple rate,40.5,0.0,211.0
1999,52,Escher Wyss,2,single parent family rate,9.5,0.0,88.0
1999,61,Unterstrass,0,base rate,35.0,2.0,151.0
1999,61,Unterstrass,1,couple rate,116.0,20.0,342.0
1999,61,Unterstrass,2,single parent family rate,10.0,0.0,64.5
1999,63,Oberstrass,0,base rate,46.0,4.0,221.0
1999,63,Oberstrass,1,couple rate,246.0,48.0,876.0
1999,63,Oberstrass,2,single parent family rate,39.5,2.0,203.5
1999,71,Fluntern,0,base rate,69.0,7.0,428.0
1999,71,Fluntern,1,couple rate,473.0,102.0,1766.0
1999,71,Fluntern,2,single parent family rate,80.0,5.0,351.0
1999,72,Hottingen,0,base rate,48.0,4.0,274.0
1999,72,Hottingen,1,couple rate,288.0,61.0,1098.0
1999,72,Hottingen,2,single parent family rate,30.0,0.0,156.0
1999,73,Hirslanden,0,base rate,44.0,6.0,211.0
1999,73,Hirslanden,1,couple rate,220.0,51.0,807.0
1999,73,Hirslanden,2,single parent family rate,23.0,0.0,105.0
1999,74,Witikon,0,base rate,77.0,10.0,360.0
1999,74,Witikon,1,couple rate,297.0,82.0,928.0
1999,74,Witikon,2,single parent family rate,32.0,0.0,168.0
1999,81,Seefeld,0,base rate,34.0,0.0,180.0
1999,81,Seefeld,1,couple rate,174.0,34.0,541.0
1999,81,Seefeld,2,single parent family rate,16.5,0.0,84.5
1999,82,Mühlebach,0,base rate,34.0,2.0,167.0
1999,82,Mühlebach,1,couple rate,187.0,26.0,608.0
1999,82,Mühlebach,2,single parent family rate,20.0,0.0,108.0
1999,83,Weinegg,0,base rate,38.0,2.0,216.5
1999,83,Weinegg,1,couple rate,185.0,24.0,812.0
1999,83,Weinegg,2,single parent family rate,6.0,0.0,129.0
1999,91,Albisrieden,0,base rate,34.0,2.0,151.0
1999,91,Albisrieden,1,couple rate,125.0,24.0,349.0
1999,91,Albisrieden,2,single parent family rate,6.5,0.0,46.0
1999,92,Altstetten,0,base rate,16.0,0.0,95.0
1999,92,Altstetten,1,couple rate,59.0,0.0,212.0
1999,92,Altstetten,2,single parent family rate,0.0,0.0,19.0
1999,101,Höngg,0,base rate,49.0,5.0,226.0
1999,101,Höngg,1,couple rate,164.0,36.0,494.0
1999,101,Höngg,2,single parent family rate,17.0,0.0,93.0
1999,102,Wipkingen,0,base rate,22.0,0.0,103.0
1999,102,Wipkingen,1,couple rate,70.0,0.0,271.0
1999,102,Wipkingen,2,single parent family rate,6.0,0.0,38.0
1999,111,Affoltern,0,base rate,17.0,0.0,90.0
1999,111,Affoltern,1,couple rate,78.0,8.0,234.0
1999,111,Affoltern,2,single parent family rate,3.0,0.0,44.0
1999,115,Oerlikon,0,base rate,23.0,0.0,122.0
1999,115,Oerlikon,1,couple rate,92.0,4.0,341.0
1999,115,Oerlikon,2,single parent family rate,5.0,0.0,54.0
1999,119,Seebach,0,base rate,15.0,0.0,93.0
1999,119,Seebach,1,couple rate,66.0,0.0,223.0
1999,119,Seebach,2,single parent family rate,0.0,0.0,20.0
1999,121,Saatlen,0,base rate,13.0,0.0,68.0
1999,121,Saatlen,1,couple rate,43.0,0.0,148.0
1999,121,Saatlen,2,single parent family rate,1.0,0.0,22.0
1999,122,Schwamendingen-Mitte,0,base rate,16.0,0.0,88.0
1999,122,Schwamendingen-Mitte,1,couple rate,51.0,0.0,208.0
1999,122,Schwamendingen-Mitte,2,single parent family rate,0.0,0.0,17.0
1999,123,Hirzenbach,0,base rate,17.0,0.0,70.0
1999,123,Hirzenbach,1,couple rate,53.0,2.0,186.0
1999,123,Hirzenbach,2,single parent family rate,1.0,0.0,21.0
2000,11,Rathaus,0,base rate,20.0,0.0,149.0
2000,11,Rathaus,1,couple rate,211.0,32.0,782.0
2000,11,Rathaus,2,single parent family rate,49.0,1.0,394.0
2000,12,Hochschulen,0,base rate,32.5,0.0,180.0
2000,12,Hochschulen,1,couple rate,275.0,68.0,956.0
2000,12,Hochschulen,2,single parent family rate,149.0,0.0,339.0
2000,13,Lindenhof,0,base rate,65.0,3.0,315.0
2000,13,Lindenhof,1,couple rate,307.5,31.0,1362.0
2000,13,Lindenhof,2,single parent family rate,41.5,2.0,577.0
2000,14,City,0,base rate,11.0,0.0,89.0
2000,14,City,1,couple rate,51.0,2.0,245.0
2000,14,City,2,single parent family rate,9.0,0.0,70.0
2000,21,Wollishofen,0,base rate,40.0,5.0,195.0
2000,21,Wollishofen,1,couple rate,144.0,32.0,433.0
2000,21,Wollishofen,2,single parent family rate,8.0,0.0,59.0
2000,23,Leimbach,0,base rate,30.0,2.0,143.0
2000,23,Leimbach,1,couple rate,116.0,20.0,393.0
2000,23,Leimbach,2,single parent family rate,8.0,0.0,54.0
2000,24,Enge,0,base rate,38.0,1.0,215.0
2000,24,Enge,1,couple rate,203.0,33.0,753.0
2000,24,Enge,2,single parent family rate,7.0,0.0,113.0
2000,31,Alt-Wiedikon,0,base rate,23.0,0.0,113.0
2000,31,Alt-Wiedikon,1,couple rate,62.0,0.0,279.0
2000,31,Alt-Wiedikon,2,single parent family rate,1.0,0.0,50.0
2000,33,Friesenberg,0,base rate,21.0,0.0,97.0
2000,33,Friesenberg,1,couple rate,76.5,10.0,209.0
2000,33,Friesenberg,2,single parent family rate,6.0,0.0,37.0
2000,34,Sihlfeld,0,base rate,15.0,0.0,87.0
2000,34,Sihlfeld,1,couple rate,35.0,0.0,187.0
2000,34,Sihlfeld,2,single parent family rate,0.0,0.0,22.0
2000,41,Werd,0,base rate,13.0,0.0,71.0
2000,41,Werd,1,couple rate,16.0,0.0,140.0
2000,41,Werd,2,single parent family rate,0.0,0.0,34.0
2000,42,Langstrasse,0,base rate,4.0,0.0,39.0
2000,42,Langstrasse,1,couple rate,6.0,0.0,90.0
2000,42,Langstrasse,2,single parent family rate,0.0,0.0,15.0
2000,44,Hard,0,base rate,8.0,0.0,56.0
2000,44,Hard,1,couple rate,9.0,0.0,86.0
2000,44,Hard,2,single parent family rate,0.0,0.0,11.0
2000,51,Gewerbeschule,0,base rate,8.0,0.0,54.0
2000,51,Gewerbeschule,1,couple rate,16.0,0.0,106.0
2000,51,Gewerbeschule,2,single parent family rate,0.0,0.0,29.0
2000,52,Escher Wyss,0,base rate,12.0,0.0,74.0
2000,52,Escher Wyss,1,couple rate,32.0,0.0,218.0
2000,52,Escher Wyss,2,single parent family rate,0.0,0.0,68.0
2000,61,Unterstrass,0,base rate,34.0,2.0,155.0
2000,61,Unterstrass,1,couple rate,114.0,18.0,346.0
2000,61,Unterstrass,2,single parent family rate,11.0,0.0,65.0
2000,63,Oberstrass,0,base rate,46.0,5.0,222.0
2000,63,Oberstrass,1,couple rate,257.0,56.0,921.0
2000,63,Oberstrass,2,single parent family rate,63.0,5.0,226.5
2000,71,Fluntern,0,base rate,72.0,8.0,446.0
2000,71,Fluntern,1,couple rate,519.0,122.0,1875.0
2000,71,Fluntern,2,single parent family rate,70.5,6.0,267.0
2000,72,Hottingen,0,base rate,49.0,4.0,269.0
2000,72,Hottingen,1,couple rate,293.5,67.0,1123.0
2000,72,Hottingen,2,single parent family rate,27.5,0.0,194.5
2000,73,Hirslanden,0,base rate,44.5,7.0,216.0
2000,73,Hirslanden,1,couple rate,229.0,52.5,844.5
2000,73,Hirslanden,2,single parent family rate,22.0,0.0,115.0
2000,74,Witikon,0,base rate,76.0,11.0,361.0
2000,74,Witikon,1,couple rate,291.0,79.0,964.0
2000,74,Witikon,2,single parent family rate,39.0,0.0,174.0
2000,81,Seefeld,0,base rate,35.0,1.0,195.0
2000,81,Seefeld,1,couple rate,200.0,34.0,558.0
2000,81,Seefeld,2,single parent family rate,34.5,0.0,118.0
2000,82,Mühlebach,0,base rate,38.0,2.0,176.5
2000,82,Mühlebach,1,couple rate,194.5,43.0,623.0
2000,82,Mühlebach,2,single parent family rate,29.0,0.0,139.0
2000,83,Weinegg,0,base rate,41.0,3.0,235.0
2000,83,Weinegg,1,couple rate,188.0,22.0,816.0
2000,83,Weinegg,2,single parent family rate,21.0,0.0,136.0
2000,91,Albisrieden,0,base rate,34.0,2.0,154.0
2000,91,Albisrieden,1,couple rate,126.0,24.0,355.0
2000,91,Albisrieden,2,single parent family rate,9.0,0.0,55.5
2000,92,Altstetten,0,base rate,16.0,0.0,94.0
2000,92,Altstetten,1,couple rate,54.5,0.0,213.0
2000,92,Altstetten,2,single parent family rate,0.0,0.0,21.0
2000,101,Höngg,0,base rate,49.0,5.0,228.0
2000,101,Höngg,1,couple rate,174.0,38.0,522.0
2000,101,Höngg,2,single parent family rate,15.0,0.0,82.0
2000,102,Wipkingen,0,base rate,22.0,0.0,100.0
2000,102,Wipkingen,1,couple rate,67.0,0.0,275.0
2000,102,Wipkingen,2,single parent family rate,6.0,0.0,43.0
2000,111,Affoltern,0,base rate,16.0,0.0,85.0
2000,111,Affoltern,1,couple rate,77.0,6.0,241.0
2000,111,Affoltern,2,single parent family rate,4.0,0.0,39.0
2000,115,Oerlikon,0,base rate,23.0,0.0,119.0
2000,115,Oerlikon,1,couple rate,88.0,5.0,333.0
2000,115,Oerlikon,2,single parent family rate,6.0,0.0,53.0
2000,119,Seebach,0,base rate,15.0,0.0,91.0
2000,119,Seebach,1,couple rate,61.0,0.0,231.0
2000,119,Seebach,2,single parent family rate,0.0,0.0,23.0
2000,121,Saatlen,0,base rate,13.0,0.0,65.0
2000,121,Saatlen,1,couple rate,40.0,0.0,153.0
2000,121,Saatlen,2,single parent family rate,2.5,0.0,23.0
2000,122,Schwamendingen-Mitte,0,base rate,14.52,0.0,86.0
2000,122,Schwamendingen-Mitte,1,couple rate,55.0,0.0,207.5
2000,122,Schwamendingen-Mitte,2,single parent family rate,0.0,0.0,19.0
2000,123,Hirzenbach,0,base rate,16.0,0.0,74.0
2000,123,Hirzenbach,1,couple rate,51.0,0.0,183.0
2000,123,Hirzenbach,2,single parent family rate,0.0,0.0,20.0
2001,11,Rathaus,0,base rate,23.0,0.0,137.0
2001,11,Rathaus,1,couple rate,218.5,35.0,779.0
2001,11,Rathaus,2,single parent family rate,43.5,2.5,300.5
2001,12,Hochschulen,0,base rate,34.0,0.0,205.0
2001,12,Hochschulen,1,couple rate,286.0,57.0,1052.0
2001,12,Hochschulen,2,single parent family rate,169.0,6.0,220.0
2001,13,Lindenhof,0,base rate,55.0,4.0,302.0
2001,13,Lindenhof,1,couple rate,310.0,60.0,1343.0
2001,13,Lindenhof,2,single parent family rate,113.0,37.0,1133.5
2001,14,City,0,base rate,11.0,0.0,68.0
2001,14,City,1,couple rate,58.0,9.0,277.0
2001,14,City,2,single parent family rate,12.0,0.0,39.0
2001,21,Wollishofen,0,base rate,38.0,5.0,182.0
2001,21,Wollishofen,1,couple rate,147.0,30.5,429.5
2001,21,Wollishofen,2,single parent family rate,10.0,0.0,60.0
2001,23,Leimbach,0,base rate,30.0,2.0,148.0
2001,23,Leimbach,1,couple rate,116.0,19.0,370.0
2001,23,Leimbach,2,single parent family rate,8.0,0.0,41.0
2001,24,Enge,0,base rate,38.0,2.0,206.5
2001,24,Enge,1,couple rate,217.0,35.0,744.0
2001,24,Enge,2,single parent family rate,11.0,0.0,125.0
2001,31,Alt-Wiedikon,0,base rate,24.0,0.0,109.0
2001,31,Alt-Wiedikon,1,couple rate,64.0,0.0,279.0
2001,31,Alt-Wiedikon,2,single parent family rate,3.5,0.0,51.0
2001,33,Friesenberg,0,base rate,20.0,0.0,96.5
2001,33,Friesenberg,1,couple rate,77.0,10.0,208.0
2001,33,Friesenberg,2,single parent family rate,4.0,0.0,43.0
2001,34,Sihlfeld,0,base rate,16.0,0.0,87.0
2001,34,Sihlfeld,1,couple rate,34.0,0.0,185.0
2001,34,Sihlfeld,2,single parent family rate,2.0,0.0,25.0
2001,41,Werd,0,base rate,15.0,0.0,74.0
2001,41,Werd,1,couple rate,17.5,0.0,121.0
2001,41,Werd,2,single parent family rate,0.0,0.0,27.0
2001,42,Langstrasse,0,base rate,5.0,0.0,45.0
2001,42,Langstrasse,1,couple rate,5.0,0.0,92.0
2001,42,Langstrasse,2,single parent family rate,0.0,0.0,16.0
2001,44,Hard,0,base rate,8.0,0.0,56.0
2001,44,Hard,1,couple rate,8.0,0.0,86.0
2001,44,Hard,2,single parent family rate,0.0,0.0,12.0
2001,51,Gewerbeschule,0,base rate,10.0,0.0,57.0
2001,51,Gewerbeschule,1,couple rate,16.0,0.0,120.0
2001,51,Gewerbeschule,2,single parent family rate,0.0,0.0,27.0
2001,52,Escher Wyss,0,base rate,15.0,0.0,77.0
2001,52,Escher Wyss,1,couple rate,38.0,0.0,231.0
2001,52,Escher Wyss,2,single parent family rate,5.0,0.0,45.0
2001,61,Unterstrass,0,base rate,35.0,3.0,149.0
2001,61,Unterstrass,1,couple rate,118.0,20.0,343.0
2001,61,Unterstrass,2,single parent family rate,14.0,0.0,76.0
2001,63,Oberstrass,0,base rate,49.0,6.0,223.0
2001,63,Oberstrass,1,couple rate,252.0,57.0,892.0
2001,63,Oberstrass,2,single parent family rate,58.0,7.0,224.0
2001,71,Fluntern,0,base rate,76.0,8.0,421.5
2001,71,Fluntern,1,couple rate,506.0,119.0,1897.0
2001,71,Fluntern,2,single parent family rate,50.5,0.0,221.0
2001,72,Hottingen,0,base rate,54.0,5.0,274.0
2001,72,Hottingen,1,couple rate,304.0,66.0,1070.0
2001,72,Hottingen,2,single parent family rate,40.5,0.0,234.0
2001,73,Hirslanden,0,base rate,45.0,6.0,205.0
2001,73,Hirslanden,1,couple rate,217.0,48.0,797.0
2001,73,Hirslanden,2,single parent family rate,22.5,0.0,115.0
2001,74,Witikon,0,base rate,78.0,13.0,361.0
2001,74,Witikon,1,couple rate,299.0,73.0,910.5
2001,74,Witikon,2,single parent family rate,41.0,1.5,158.5
2001,81,Seefeld,0,base rate,38.0,2.0,190.0
2001,81,Seefeld,1,couple rate,204.0,30.0,531.0
2001,81,Seefeld,2,single parent family rate,21.0,0.0,156.0
2001,82,Mühlebach,0,base rate,40.0,3.0,178.0
2001,82,Mühlebach,1,couple rate,204.0,46.0,612.0
2001,82,Mühlebach,2,single parent family rate,36.0,1.0,120.0
2001,83,Weinegg,0,base rate,43.0,5.0,214.0
2001,83,Weinegg,1,couple rate,177.0,23.0,813.0
2001,83,Weinegg,2,single parent family rate,27.5,0.0,170.0
2001,91,Albisrieden,0,base rate,34.0,2.0,154.0
2001,91,Albisrieden,1,couple rate,125.0,22.0,348.0
2001,91,Albisrieden,2,single parent family rate,11.0,0.0,53.5
2001,92,Altstetten,0,base rate,15.0,0.0,92.0
2001,92,Altstetten,1,couple rate,53.0,0.0,208.0
2001,92,Altstetten,2,single parent family rate,0.0,0.0,19.0
2001,101,Höngg,0,base rate,48.0,5.0,227.0
2001,101,Höngg,1,couple rate,174.0,39.0,515.0
2001,101,Höngg,2,single parent family rate,18.0,0.0,92.0
2001,102,Wipkingen,0,base rate,25.0,0.0,104.0
2001,102,Wipkingen,1,couple rate,72.0,1.0,280.0
2001,102,Wipkingen,2,single parent family rate,8.0,0.0,52.0
2001,111,Affoltern,0,base rate,17.0,0.0,84.0
2001,111,Affoltern,1,couple rate,74.0,5.0,241.0
2001,111,Affoltern,2,single parent family rate,4.0,0.0,45.5
2001,115,Oerlikon,0,base rate,24.0,0.0,117.0
2001,115,Oerlikon,1,couple rate,84.0,4.0,315.0
2001,115,Oerlikon,2,single parent family rate,6.0,0.0,52.0
2001,119,Seebach,0,base rate,14.0,0.0,87.0
2001,119,Seebach,1,couple rate,59.0,0.0,229.0
2001,119,Seebach,2,single parent family rate,1.0,0.0,24.5
2001,121,Saatlen,0,base rate,15.0,0.0,71.0
2001,121,Saatlen,1,couple rate,43.0,0.0,156.0
2001,121,Saatlen,2,single parent family rate,1.5,0.0,25.0
2001,122,Schwamendingen-Mitte,0,base rate,16.0,0.0,86.5
2001,122,Schwamendingen-Mitte,1,couple rate,47.0,0.0,202.0
2001,122,Schwamendingen-Mitte,2,single parent family rate,0.0,0.0,12.0
2001,123,Hirzenbach,0,base rate,17.0,0.0,78.0
2001,123,Hirzenbach,1,couple rate,49.0,0.0,187.0
2001,123,Hirzenbach,2,single parent family rate,2.0,0.0,25.0
2002,11,Rathaus,0,base rate,23.0,0.0,145.0
2002,11,Rathaus,1,couple rate,204.0,31.0,653.0
2002,11,Rathaus,2,single parent family rate,51.0,3.0,199.0
2002,12,Hochschulen,0,base rate,38.0,0.0,242.5
2002,12,Hochschulen,1,couple rate,300.5,52.5,1020.0
2002,12,Hochschulen,2,single parent family rate,65.0,5.0,259.0
2002,13,Lindenhof,0,base rate,58.0,5.5,285.5
2002,13,Lindenhof,1,couple rate,273.5,57.0,1225.5
2002,13,Lindenhof,2,single parent family rate,69.0,8.0,971.0
2002,14,City,0,base rate,11.5,0.0,72.0
2002,14,City,1,couple rate,79.0,13.0,324.0
2002,14,City,2,single parent family rate,11.0,0.0,56.0
2002,21,Wollishofen,0,base rate,37.0,4.0,171.0
2002,21,Wollishofen,1,couple rate,148.0,30.0,425.0
2002,21,Wollishofen,2,single parent family rate,9.0,0.0,64.0
2002,23,Leimbach,0,base rate,29.0,2.0,142.0
2002,23,Leimbach,1,couple rate,111.0,18.0,352.0
2002,23,Leimbach,2,single parent family rate,8.0,0.0,50.5
2002,24,Enge,0,base rate,35.0,2.0,188.0
2002,24,Enge,1,couple rate,194.0,32.0,704.0
2002,24,Enge,2,single parent family rate,12.0,0.0,201.0
2002,31,Alt-Wiedikon,0,base rate,23.0,0.0,103.0
2002,31,Alt-Wiedikon,1,couple rate,57.0,0.0,258.0
2002,31,Alt-Wiedikon,2,single parent family rate,1.0,0.0,48.0
2002,33,Friesenberg,0,base rate,20.0,0.0,95.0
2002,33,Friesenberg,1,couple rate,72.0,7.0,195.0
2002,33,Friesenberg,2,single parent family rate,5.0,0.0,40.0
2002,34,Sihlfeld,0,base rate,16.0,0.0,86.0
2002,34,Sihlfeld,1,couple rate,32.0,0.0,183.0
2002,34,Sihlfeld,2,single parent family rate,1.0,0.0,28.0
2002,41,Werd,0,base rate,13.0,0.0,71.0
2002,41,Werd,1,couple rate,16.5,0.0,130.0
2002,41,Werd,2,single parent family rate,1.0,0.0,51.0
2002,42,Langstrasse,0,base rate,4.0,0.0,44.0
2002,42,Langstrasse,1,couple rate,3.0,0.0,81.0
2002,42,Langstrasse,2,single parent family rate,0.0,0.0,18.0
2002,44,Hard,0,base rate,7.0,0.0,53.0
2002,44,Hard,1,couple rate,7.0,0.0,83.0
2002,44,Hard,2,single parent family rate,0.0,0.0,10.0
2002,51,Gewerbeschule,0,base rate,9.0,0.0,58.0
2002,51,Gewerbeschule,1,couple rate,14.0,0.0,113.0
2002,51,Gewerbeschule,2,single parent family rate,0.0,0.0,28.0
2002,52,Escher Wyss,0,base rate,14.0,0.0,76.0
2002,52,Escher Wyss,1,couple rate,53.0,0.0,209.0
2002,52,Escher Wyss,2,single parent family rate,5.0,0.0,45.0
2002,61,Unterstrass,0,base rate,33.0,3.0,140.0
2002,61,Unterstrass,1,couple rate,113.0,16.0,331.0
2002,61,Unterstrass,2,single parent family rate,14.5,0.0,80.0
2002,63,Oberstrass,0,base rate,48.0,5.0,216.0
2002,63,Oberstrass,1,couple rate,236.0,52.0,875.0
2002,63,Oberstrass,2,single parent family rate,51.0,7.0,215.0
2002,71,Fluntern,0,base rate,72.0,7.0,400.0
2002,71,Fluntern,1,couple rate,506.5,110.0,1883.0
2002,71,Fluntern,2,single parent family rate,65.0,2.0,290.0
2002,72,Hottingen,0,base rate,52.0,5.0,263.0
2002,72,Hottingen,1,couple rate,287.5,70.0,1053.0
2002,72,Hottingen,2,single parent family rate,32.0,0.0,216.0
2002,73,Hirslanden,0,base rate,44.0,6.0,187.5
2002,73,Hirslanden,1,couple rate,197.0,50.0,745.0
2002,73,Hirslanden,2,single parent family rate,28.0,0.0,119.0
2002,74,Witikon,0,base rate,74.0,10.0,328.0
2002,74,Witikon,1,couple rate,284.0,67.0,844.0
2002,74,Witikon,2,single parent family rate,45.0,1.0,217.0
2002,81,Seefeld,0,base rate,36.0,1.0,170.0
2002,81,Seefeld,1,couple rate,192.0,29.0,553.0
2002,81,Seefeld,2,single parent family rate,22.0,0.0,131.0
2002,82,Mühlebach,0,base rate,36.0,2.0,168.0
2002,82,Mühlebach,1,couple rate,203.5,44.0,661.0
2002,82,Mühlebach,2,single parent family rate,34.0,2.0,141.0
2002,83,Weinegg,0,base rate,40.0,4.0,199.0
2002,83,Weinegg,1,couple rate,167.0,23.0,724.0
2002,83,Weinegg,2,single parent family rate,15.5,0.0,112.5
2002,91,Albisrieden,0,base rate,31.0,2.0,144.0
2002,91,Albisrieden,1,couple rate,115.0,18.0,335.0
2002,91,Albisrieden,2,single parent family rate,8.0,0.0,45.0
2002,92,Altstetten,0,base rate,16.0,0.0,90.0
2002,92,Altstetten,1,couple rate,46.0,0.0,197.0
