Year,district_code,district_code2,district_name,Total_pop,Total_nat
1993,11,11,Rathaus,3133,66
1993,12,12,Hochschulen,808,32
1993,13,13,Lindenhof,1136,32
1993,14,14,City,884,36
1993,21,21,Wollishofen,15927,83
1993,23,23,Leimbach,4555,54
1993,24,24,Enge,8125,73
1993,31,31,Alt-Wiedikon,14637,97
1993,33,33,Friesenberg,10167,77
1993,34,34,Sihlfeld,21536,99
1993,41,41,Werd,4048,68
1993,42,42,Langstrasse,11505,94
1993,44,44,Hard,12747,81
1993,51,51,Gewerbeschule,9948,95
1993,52,52,Escher Wyss,1547,42
1993,61,61,Unterstrass,20425,97
1993,63,63,Oberstrass,10154,87
1993,71,71,Fluntern,7188,68
1993,72,72,Hottingen,10139,83
1993,73,73,Hirslanden,6835,69
1993,74,74,Witikon,9626,74
1993,81,81,Seefeld,5283,78
1993,82,82,Mühlebach,5694,80
1993,83,83,Weinegg,4856,70
1993,91,91,Albisrieden,17132,80
1993,92,92,Altstetten,27871,100
1993,101,101,Höngg,19118,85
1993,102,102,Wipkingen,15974,97
1993,111,111,Affoltern,18095,85
1993,115,115,Oerlikon,16710,93
1993,119,119,Seebach,17614,92
1993,121,121,Saatlen,6472,60
1993,122,122,Schwamendingen-Mitte,10175,75
1993,123,123,Hirzenbach,10834,82
1994,11,11,Rathaus,3089,67
1994,12,12,Hochschulen,806,34
1994,13,13,Lindenhof,1087,35
1994,14,14,City,845,38
1994,21,21,Wollishofen,15902,85
1994,23,23,Leimbach,4598,60
1994,24,24,Enge,8122,81
1994,31,31,Alt-Wiedikon,14803,98
1994,33,33,Friesenberg,10213,80
1994,34,34,Sihlfeld,21569,107
1994,41,41,Werd,4125,67
1994,42,42,Langstrasse,11183,96
1994,44,44,Hard,12816,85
1994,51,51,Gewerbeschule,9773,91
1994,52,52,Escher Wyss,1596,44
1994,61,61,Unterstrass,20477,100
1994,63,63,Oberstrass,10266,85
1994,71,71,Fluntern,7085,73
1994,72,72,Hottingen,10229,90
1994,73,73,Hirslanden,6750,70
1994,74,74,Witikon,9661,75
1994,81,81,Seefeld,5304,81
1994,82,82,Mühlebach,5611,81
1994,83,83,Weinegg,4883,69
1994,91,91,Albisrieden,17058,82
1994,92,92,Altstetten,27717,103
1994,101,101,Höngg,19184,92
1994,102,102,Wipkingen,16057,95
1994,111,111,Affoltern,18061,87
1994,115,115,Oerlikon,16771,99
1994,119,119,Seebach,17642,95
1994,121,121,Saatlen,6430,63
1994,122,122,Schwamendingen-Mitte,10240,81
1994,123,123,Hirzenbach,10895,81
1995,11,11,Rathaus,3049,64
1995,12,12,Hochschulen,782,40
1995,13,13,Lindenhof,1096,36
1995,14,14,City,1007,44
1995,21,21,Wollishofen,15918,87
1995,23,23,Leimbach,4647,62
1995,24,24,Enge,8174,82
1995,31,31,Alt-Wiedikon,14719,97
1995,33,33,Friesenberg,10155,79
1995,34,34,Sihlfeld,21453,109
1995,41,41,Werd,4005,65
1995,42,42,Langstrasse,10952,100
1995,44,44,Hard,12872,87
1995,51,51,Gewerbeschule,9811,93
1995,52,52,Escher Wyss,1649,46
1995,61,61,Unterstrass,20356,102
1995,63,63,Oberstrass,10121,88
1995,71,71,Fluntern,7151,77
1995,72,72,Hottingen,10234,84
1995,73,73,Hirslanden,6654,73
1995,74,74,Witikon,9732,80
1995,81,81,Seefeld,5281,80
1995,82,82,Mühlebach,5611,81
1995,83,83,Weinegg,4871,71
1995,91,91,Albisrieden,16843,86
1995,92,92,Altstetten,27788,110
1995,101,101,Höngg,19243,88
1995,102,102,Wipkingen,16080,99
1995,111,111,Affoltern,18154,91
1995,115,115,Oerlikon,17033,98
1995,119,119,Seebach,17700,99
1995,121,121,Saatlen,6442,71
1995,122,122,Schwamendingen-Mitte,10248,84
1995,123,123,Hirzenbach,10995,84
1996,11,11,Rathaus,3078,72
1996,12,12,Hochschulen,753,38
1996,13,13,Lindenhof,1044,35
1996,14,14,City,981,43
1996,21,21,Wollishofen,15844,87
1996,23,23,Leimbach,4553,61
1996,24,24,Enge,8155,81
1996,31,31,Alt-Wiedikon,14869,101
1996,33,33,Friesenberg,9993,76
1996,34,34,Sihlfeld,21233,112
1996,41,41,Werd,3979,71
1996,42,42,Langstrasse,10718,98
1996,44,44,Hard,12937,88
1996,51,51,Gewerbeschule,9700,97
1996,52,52,Escher Wyss,1641,43
1996,61,61,Unterstrass,20318,103
1996,63,63,Oberstrass,10110,91
1996,71,71,Fluntern,7178,79
1996,72,72,Hottingen,10348,86
1996,73,73,Hirslanden,6703,71
1996,74,74,Witikon,9647,78
1996,81,81,Seefeld,5226,84
1996,82,82,Mühlebach,5566,74
1996,83,83,Weinegg,4900,69
1996,91,91,Albisrieden,16705,93
1996,92,92,Altstetten,27660,114
1996,101,101,Höngg,19604,92
1996,102,102,Wipkingen,16131,101
1996,111,111,Affoltern,18122,89
1996,115,115,Oerlikon,16813,107
1996,119,119,Seebach,17624,102
1996,121,121,Saatlen,6384,66
1996,122,122,Schwamendingen-Mitte,10141,84
1996,123,123,Hirzenbach,10990,91
1997,11,11,Rathaus,3083,66
1997,12,12,Hochschulen,762,42
1997,13,13,Lindenhof,1025,34
1997,14,14,City,996,42
1997,21,21,Wollishofen,15820,96
1997,23,23,Leimbach,4484,63
1997,24,24,Enge,8164,79
1997,31,31,Alt-Wiedikon,15000,106
1997,33,33,Friesenberg,9991,80
1997,34,34,Sihlfeld,21132,111
1997,41,41,Werd,3928,76
1997,42,42,Langstrasse,10480,99
1997,44,44,Hard,12884,90
1997,51,51,Gewerbeschule,9525,98
1997,52,52,Escher Wyss,1622,51
1997,61,61,Unterstrass,20281,105
1997,63,63,Oberstrass,9994,88
1997,71,71,Fluntern,7191,82
1997,72,72,Hottingen,10326,88
1997,73,73,Hirslanden,6659,79
1997,74,74,Witikon,9577,80
1997,81,81,Seefeld,5155,82
1997,82,82,Mühlebach,5474,78
1997,83,83,Weinegg,4799,67
1997,91,91,Albisrieden,16630,92
1997,92,92,Altstetten,27663,112
1997,101,101,Höngg,19793,96
1997,102,102,Wipkingen,15817,105
1997,111,111,Affoltern,18177,96
1997,115,115,Oerlikon,16765,106
1997,119,119,Seebach,17719,103
1997,121,121,Saatlen,6428,71
1997,122,122,Schwamendingen-Mitte,10237,91
1997,123,123,Hirzenbach,11013,90
1998,11,11,Rathaus,3050,66
1998,12,12,Hochschulen,792,47
1998,13,13,Lindenhof,995,39
1998,14,14,City,1030,48
1998,21,21,Wollishofen,15826,94
1998,23,23,Leimbach,4619,70
1998,24,24,Enge,8150,85
1998,31,31,Alt-Wiedikon,14975,108
1998,33,33,Friesenberg,10029,77
1998,34,34,Sihlfeld,21018,119
1998,41,41,Werd,3913,75
1998,42,42,Langstrasse,10399,98
1998,44,44,Hard,12871,97
1998,51,51,Gewerbeschule,9464,102
1998,52,52,Escher Wyss,1579,47
1998,61,61,Unterstrass,20266,100
1998,63,63,Oberstrass,9907,85
1998,71,71,Fluntern,7272,79
1998,72,72,Hottingen,10240,85
1998,73,73,Hirslanden,6702,74
1998,74,74,Witikon,9553,79
1998,81,81,Seefeld,5087,81
1998,82,82,Mühlebach,5461,81
1998,83,83,Weinegg,4816,68
1998,91,91,Albisrieden,16548,98
1998,92,92,Altstetten,27656,110
1998,101,101,Höngg,20054,95
1998,102,102,Wipkingen,15643,112
1998,111,111,Affoltern,18469,101
1998,115,115,Oerlikon,17026,110
1998,119,119,Seebach,17906,104
1998,121,121,Saatlen,6568,68
1998,122,122,Schwamendingen-Mitte,10174,95
1998,123,123,Hirzenbach,11015,87
1999,11,11,Rathaus,3104,72
1999,12,12,Hochschulen,769,46
1999,13,13,Lindenhof,1032,30
1999,14,14,City,967,46
1999,21,21,Wollishofen,15896,95
1999,23,23,Leimbach,4650,70
1999,24,24,Enge,8134,84
1999,31,31,Alt-Wiedikon,14889,107
1999,33,33,Friesenberg,10013,83
1999,34,34,Sihlfeld,20997,117
1999,41,41,Werd,3966,77
1999,42,42,Langstrasse,10370,98
1999,44,44,Hard,12951,102
1999,51,51,Gewerbeschule,9594,103
1999,52,52,Escher Wyss,1953,50
1999,61,61,Unterstrass,20083,106
1999,63,63,Oberstrass,9897,94
1999,71,71,Fluntern,7298,90
1999,72,72,Hottingen,10307,88
1999,73,73,Hirslanden,6837,70
1999,74,74,Witikon,9554,79
1999,81,81,Seefeld,4969,73
1999,82,82,Mühlebach,5527,80
1999,83,83,Weinegg,4800,73
1999,91,91,Albisrieden,16341,104
1999,92,92,Altstetten,27928,112
1999,101,101,Höngg,20559,106
1999,102,102,Wipkingen,15531,112
1999,111,111,Affoltern,18468,107
1999,115,115,Oerlikon,17368,114
1999,119,119,Seebach,17889,108
1999,121,121,Saatlen,6554,78
1999,122,122,Schwamendingen-Mitte,10390,99
1999,123,123,Hirzenbach,11119,91
2000,11,11,Rathaus,3109,69
2000,12,12,Hochschulen,759,48
2000,13,13,Lindenhof,989,35
2000,14,14,City,929,51
2000,21,21,Wollishofen,16102,96
2000,23,23,Leimbach,4644,77
2000,24,24,Enge,8189,84
2000,31,31,Alt-Wiedikon,14789,105
2000,33,33,Friesenberg,9972,85
2000,34,34,Sihlfeld,20887,122
2000,41,41,Werd,3917,85
2000,42,42,Langstrasse,10237,109
2000,44,44,Hard,12875,100
2000,51,51,Gewerbeschule,9824,107
2000,52,52,Escher Wyss,1929,54
2000,61,61,Unterstrass,19933,109
2000,63,63,Oberstrass,9864,94
2000,71,71,Fluntern,7267,81
2000,72,72,Hottingen,10147,88
2000,73,73,Hirslanden,6759,72
2000,74,74,Witikon,9544,82
2000,81,81,Seefeld,4989,79
2000,82,82,Mühlebach,5545,81
2000,83,83,Weinegg,4804,73
2000,91,91,Albisrieden,16445,106
2000,92,92,Altstetten,28174,117
2000,101,101,Höngg,20423,102
2000,102,102,Wipkingen,15704,111
2000,111,111,Affoltern,18387,103
2000,115,115,Oerlikon,17876,117
2000,119,119,Seebach,17870,110
2000,121,121,Saatlen,6338,78
2000,122,122,Schwamendingen-Mitte,10479,100
2000,123,123,Hirzenbach,11281,96
2001,11,11,Rathaus,3103,71
2001,12,12,Hochschulen,738,50
2001,13,13,Lindenhof,948,36
2001,14,14,City,907,47
2001,21,21,Wollishofen,15928,98
2001,23,23,Leimbach,4668,72
2001,24,24,Enge,8102,84
2001,31,31,Alt-Wiedikon,14692,106
2001,33,33,Friesenberg,10042,87
2001,34,34,Sihlfeld,20704,121
2001,41,41,Werd,3838,84
2001,42,42,Langstrasse,10276,104
2001,44,44,Hard,12841,102
2001,51,51,Gewerbeschule,9835,109
2001,52,52,Escher Wyss,2133,57
2001,61,61,Unterstrass,19831,114
2001,63,63,Oberstrass,9764,94
2001,71,71,Fluntern,7221,81
2001,72,72,Hottingen,10096,90
2001,73,73,Hirslanden,6800,72
2001,74,74,Witikon,9559,82
2001,81,81,Seefeld,5025,79
2001,82,82,Mühlebach,5486,77
2001,83,83,Weinegg,4816,77
2001,91,91,Albisrieden,16614,109
2001,92,92,Altstetten,28783,117
2001,101,101,Höngg,20588,112
2001,102,102,Wipkingen,15567,110
2001,111,111,Affoltern,18693,104
2001,115,115,Oerlikon,18223,121
2001,119,119,Seebach,18103,113
2001,121,121,Saatlen,6386,73
2001,122,122,Schwamendingen-Mitte,10430,98
2001,123,123,Hirzenbach,11302,100
2002,11,11,Rathaus,3128,71
2002,12,12,Hochschulen,727,44
2002,13,13,Lindenhof,950,33
2002,14,14,City,910,45
2002,21,21,Wollishofen,15771,102
2002,23,23,Leimbach,4681,73
2002,24,24,Enge,8279,86
2002,31,31,Alt-Wiedikon,14811,102
2002,33,33,Friesenberg,10188,88
2002,34,34,Sihlfeld,20731,122
2002,41,41,Werd,3850,84
2002,42,42,Langstrasse,10447,108
2002,44,44,Hard,12856,104
2002,51,51,Gewerbeschule,9900,106
2002,52,52,Escher Wyss,2516,58
2002,61,61,Unterstrass,19863,112
2002,63,63,Oberstrass,9725,93
2002,71,71,Fluntern,7069,77
2002,72,72,Hottingen,10021,94
2002,73,73,Hirslanden,6781,76
2002,74,74,Witikon,9571,85
2002,81,81,Seefeld,5122,99
2002,82,82,Mühlebach,5450,80
2002,83,83,Weinegg,4776,76
2002,91,91,Albisrieden,16669,110
2002,92,92,Altstetten,28776,118
2002,101,101,Höngg,20570,111
2002,102,102,Wipkingen,15495,114
2002,111,111,Affoltern,18705,113
2002,115,115,Oerlikon,18778,117
2002,119,119,Seebach,18972,120
2002,121,121,Saatlen,6663,75
2002,122,122,Schwamendingen-Mitte,10373,102
2002,123,123,Hirzenbach,11434,101
2003,11,11,Rathaus,3149,69
2003,12,12,Hochschulen,723,50
2003,13,13,Lindenhof,942,36
2003,14,14,City,886,44
2003,21,21,Wollishofen,15468,99
2003,23,23,Leimbach,4830,72
2003,24,24,Enge,8228,88
2003,31,31,Alt-Wiedikon,14459,107
2003,33,33,Friesenberg,10387,91
2003,34,34,Sihlfeld,20663,118
2003,41,41,Werd,3788,84
2003,42,42,Langstrasse,10304,112
2003,44,44,Hard,12817,106
2003,51,51,Gewerbeschule,9781,102
2003,52,52,Escher Wyss,2465,59
2003,61,61,Unterstrass,19882,114
2003,63,63,Oberstrass,9689,98
2003,71,71,Fluntern,7102,78
2003,72,72,Hottingen,10017,92
2003,73,73,Hirslanden,6795,76
2003,74,74,Witikon,9503,86
2003,81,81,Seefeld,4996,84
2003,82,82,Mühlebach,5434,80
2003,83,83,Weinegg,4747,74
2003,91,91,Albisrieden,17018,110
2003,92,92,Altstetten,28323,125
2003,101,101,Höngg,20810,113
2003,102,102,Wipkingen,15476,114
2003,111,111,Affoltern,18787,115
2003,115,115,Oerlikon,19217,121
2003,119,119,Seebach,19438,120
2003,121,121,Saatlen,6583,76
2003,122,122,Schwamendingen-Mitte,10389,104
2003,123,123,Hirzenbach,11432,101
2004,11,11,Rathaus,3115,75
2004,12,12,Hochschulen,725,53
2004,13,13,Lindenhof,947,42
2004,14,14,City,843,42
2004,21,21,Wollishofen,15499,99
2004,23,23,Leimbach,4778,71
2004,24,24,Enge,8209,82
2004,31,31,Alt-Wiedikon,14551,110
2004,33,33,Friesenberg,10326,90
2004,34,34,Sihlfeld,20567,117
2004,41,41,Werd,3763,81
2004,42,42,Langstrasse,10319,108
2004,44,44,Hard,12804,108
2004,51,51,Gewerbeschule,9773,107
2004,52,52,Escher Wyss,2624,62
2004,61,61,Unterstrass,19742,119
2004,63,63,Oberstrass,9546,98
2004,71,71,Fluntern,7285,82
2004,72,72,Hottingen,9926,89
2004,73,73,Hirslanden,6806,76
2004,74,74,Witikon,9711,91
2004,81,81,Seefeld,4993,82
2004,82,82,Mühlebach,5546,86
2004,83,83,Weinegg,4771,71
2004,91,91,Albisrieden,17087,107
2004,92,92,Altstetten,28368,124
2004,101,101,Höngg,20856,113
2004,102,102,Wipkingen,15428,114
2004,111,111,Affoltern,18886,117
2004,115,115,Oerlikon,19375,126
2004,119,119,Seebach,19501,120
2004,121,121,Saatlen,6697,79
2004,122,122,Schwamendingen-Mitte,10274,99
2004,123,123,Hirzenbach,11336,103
